y_val,y_pred_val
56.5,56.829799999999985
52.84,53.22429999999999
54.04,54.173100000000034
34.89,36.713799999999964
91.91,91.92370000000001
69.46,70.1342
50.33,49.33439999999997
54.62,53.05810000000001
24.1,25.90770000000001
72.44,72.86860000000003
56.48,62.301600000000036
69.98,73.05599999999995
67.57,68.12079999999997
56.92,57.64010000000001
38.89,39.42370000000001
55.36,54.75169999999999
76.84,77.50710000000002
59.54,59.92970000000001
56.48,54.5271
46.71,46.545499999999954
61.57,69.12310000000004
71.47,69.81029999999998
65.52,68.10200000000003
68.49,67.10979999999998
42.4,41.74409999999998
95.7,95.04390000000006
62.9,62.23970000000003
69.11,67.31030000000001
55.68,54.91649999999998
71.06,69.2432000000001
59.17,58.488500000000016
64.22,65.34509999999995
52.92,53.0586
39.87,37.108699999999985
56.02,55.08370000000001
57.36,58.57490000000008
49.95,50.07930000000001
56.7,58.1964
32.02,28.850099999999998
58.9,59.19519999999993
53.11,54.503
52.67,52.955400000000026
70.33,69.20640000000004
55.35,58.07829999999999
18.78,19.188399999999998
76.58,77.69759999999995
57.01,58.748000000000026
58.76,57.858700000000006
59.51,54.4982
71.59,71.27720000000002
78.97,78.49460000000008
65.22,65.76659999999997
85.67,83.43959999999991
70.85,69.16159999999999
58.4,58.72569999999998
61.01,60.06050000000001
59.77,53.11659999999998
48.03,48.46480000000001
79.12,78.22530000000002
47.55,53.684500000000014
43.96,44.29240000000001
86.42,86.54799999999997
50.92,50.576200000000036
47.46,47.603899999999975
52.77,55.516999999999996
61.56,61.961900000000014
54.28,53.39560000000002
63.82,64.6918
68.39,69.10790000000001
34.51,34.72509999999999
60.34,59.99749999999998
67.2,66.77679999999998
49.93,49.825199999999995
48.2,49.241899999999994
50.29,52.34520000000006
59.9,54.75390000000003
52.73,52.04700000000003
57.84,59.3135
48.14,47.888400000000004
54.25,54.619499999999945
63.49,62.05570000000003
42.9,43.138199999999976
59.14,61.30479999999993
24.81,21.296799999999998
64.3,62.52830000000001
83.92,83.02680000000002
78.12,77.55539999999995
61.85,60.6427
71.79,72.61629999999992
60.91,60.219199999999994
66.57,68.01009999999992
87.45,85.62050000000006
52.59,52.07179999999996
76.17,74.76990000000002
34.11,35.62359999999999
56.94,58.019299999999994
41.56,40.759900000000016
19.51,19.524000000000004
43.82,42.84019999999999
31.4,31.891000000000016
49.64,49.83409999999998
49.89,49.97090000000001
65.71,65.15410000000004
52.01,44.3483
53.12,53.21989999999996
67.23,66.5708
46.06,46.786100000000005
47.6,41.94449999999999
70.13,70.60739999999998
42.42,43.38430000000001
51.82,52.27490000000001
50.12,50.915100000000045
43.92,43.70569999999998
53.39,53.03350000000001
69.88,69.71470000000004
64.94,61.47869999999999
54.3,49.44149999999997
66.69,65.73040000000003
73.54,67.4115
37.31,36.014099999999985
70.86,69.87099999999991
53.45,53.899100000000026
48.36,47.456399999999995
70.22,70.44669999999999
71.53,65.50919999999999
56.76,54.13910000000003
43.63,44.162000000000035
49.83,57.82490000000003
60.57,60.34610000000002
47.36,47.17119999999999
67.81,61.634900000000016
66.21,64.41609999999996
75.36,75.22589999999998
73.21,59.78810000000003
80.65,78.00350000000005
48.42,48.444100000000006
45.88,46.00780000000002
72.0,72.48339999999986
52.86,52.60240000000003
59.42,60.21889999999995
49.97,49.931499999999986
49.8,49.53920000000003
68.19,69.47229999999999
49.41,50.75059999999998
67.76,67.76179999999992
71.0,69.07039999999996
49.3,49.831
57.4,57.5168
77.34,77.5782
41.38,36.323600000000006
57.57,56.512900000000045
63.06,63.832500000000024
55.26,55.60850000000002
67.32,65.62680000000006
50.04,51.30590000000002
63.26,64.67289999999998
69.9,69.56379999999999
69.9,67.93570000000004
21.07,31.68369999999999
42.36,42.51489999999998
52.07,53.08190000000003
52.93,51.54579999999999
25.36,30.80009999999999
72.4,58.713599999999985
59.76,59.84840000000003
81.18,79.5864
57.51,57.96810000000003
77.5,77.97250000000001
54.32,57.219599999999964
43.75,44.33020000000002
63.5,62.92599999999999
58.23,57.62359999999996
56.57,56.73669999999997
42.94,45.5117
44.74,44.532999999999966
56.54,54.1018
65.64,65.5783
47.5,47.59369999999999
26.47,27.530099999999983
61.09,60.91350000000001
59.05,59.0022
50.48,46.861399999999996
49.58,49.87130000000005
77.29,76.94490000000008
64.5,62.25280000000007
77.53,76.82610000000004
71.69,71.37590000000004
50.22,50.855800000000016
72.1,72.40630000000002
63.68,63.764800000000015
73.03,73.37709999999998
59.05,60.42350000000001
72.48,72.16510000000008
53.7,54.532900000000026
61.33,62.45069999999999
56.47,56.5246
83.08,81.77609999999996
55.08,58.16660000000002
62.76,60.800699999999985
58.18,58.04839999999997
54.87,54.20349999999999
57.59,59.07839999999996
58.37,58.24380000000001
73.16,73.08829999999998
52.99,63.4036
34.68,34.8943
44.18,45.527300000000004
80.91,73.21000000000006
45.52,45.4375
30.39,30.74059999999999
85.79,68.3675
52.85,52.51280000000003
67.28,68.7099
70.99,70.67800000000003
71.79,71.93339999999995
74.16,73.35949999999994
48.34,47.3018
45.52,46.15740000000001
42.62,44.193899999999985
60.11,61.737300000000005
60.0,60.43039999999997
27.2,29.785700000000006
72.72,68.50780000000003
55.53,57.407299999999985
44.18,44.431800000000024
82.73,75.76319999999994
74.68,73.00819999999997
68.61,66.93759999999997
71.6,63.17589999999998
50.99,50.4992
61.66,63.07289999999998
64.2,71.17359999999996
70.74,71.9947
75.5,74.09009999999995
57.07,56.679399999999994
45.08,45.360099999999996
39.11,42.69059999999997
55.34,56.05609999999997
63.55,64.25699999999998
52.9,50.40409999999995
40.76,40.60389999999996
15.75,17.567699999999995
27.88,27.83210000000002
30.62,31.682000000000006
51.2,50.594699999999996
64.31,55.84970000000003
45.27,43.09080000000001
75.81,76.18800000000002
59.49,60.02889999999999
58.07,60.57710000000003
44.17,44.26860000000002
67.58,68.53169999999999
57.94,58.5361
56.26,56.32650000000002
53.8,53.61790000000002
44.94,45.66720000000001
54.69,55.035200000000025
42.58,33.07020000000003
64.86,63.35050000000002
57.29,57.22469999999999
67.81,65.88950000000006
60.32,64.10989999999998
50.83,50.924600000000034
62.18,61.869600000000034
15.55,19.23070000000002
39.23,44.95749999999996
64.44,65.65099999999998
44.2,49.686200000000035
69.19,68.78749999999995
67.09,68.26180000000001
25.73,26.306800000000017
62.76,59.945300000000024
50.86,51.05030000000001
61.23,62.37610000000001
44.03,45.51870000000002
48.24,47.834999999999994
27.3,28.20379999999999
60.37,62.45210000000004
69.82,68.29260000000004
50.36,51.18859999999999
47.16,47.12949999999995
72.59,69.39130000000002
77.95,74.7217
72.65,69.74339999999994
31.09,30.991299999999995
13.7,13.796300000000013
66.49,65.89530000000002
54.05,60.6796
54.7,54.98739999999997
40.84,40.17420000000003
73.98,73.81259999999996
50.24,53.05670000000003
72.75,75.31350000000005
55.49,55.68369999999996
44.96,46.00730000000001
76.66,63.33640000000007
60.47,58.88879999999999
40.89,41.26279999999999
55.42,53.64409999999999
49.23,51.917699999999996
71.57,71.0803
71.61,70.64199999999998
53.62,54.644500000000015
56.24,55.9875
79.85,77.91050000000004
58.73,59.126
45.85,46.249799999999986
50.99,50.86209999999996
72.16,71.63700000000003
70.14,70.54989999999997
42.4,46.35889999999999
64.14,57.641600000000025
13.99,21.271400000000007
39.98,40.86679999999997
78.12,78.3486
53.43,53.55500000000001
66.77,66.79440000000004
47.11,46.2471
57.68,60.32229999999998
72.18,75.18900000000006
68.98,69.43119999999996
55.29,54.89020000000001
47.53,49.10629999999996
47.94,51.509199999999964
53.79,53.65270000000007
50.44,50.27449999999998
47.85,55.56260000000003
59.01,59.0758
86.42,85.51600000000002
80.18,78.27120000000001
52.66,51.65750000000003
37.96,38.31099999999997
46.02,46.97780000000002
65.81,66.60480000000007
72.93,72.87859999999999
78.64,78.22570000000003
78.52,75.47030000000002
45.16,45.04599999999998
48.18,48.5524
52.82,53.60470000000003
42.86,42.79459999999998
48.48,49.67620000000001
36.67,36.939600000000034
79.81,74.32009999999997
55.44,56.48340000000005
66.56,66.194
68.7,67.8824
54.98,56.63439999999998
17.8,33.9462
72.68,74.00700000000006
75.17,70.76080000000002
55.51,54.1011
76.08,71.87819999999999
38.07,38.523300000000006
51.65,51.51139999999999
61.12,61.37579999999997
71.26,71.73449999999997
46.96,44.229699999999994
77.13,76.13210000000002
58.01,56.67449999999997
49.0,49.4566
66.28,68.46849999999993
51.13,51.33990000000001
57.68,56.56969999999998
50.55,49.82759999999998
70.09,73.65279999999998
49.08,50.04459999999997
62.81,49.520599999999995
53.14,54.030100000000004
45.93,48.42570000000001
31.65,31.0518
18.39,18.45619999999999
49.95,49.1594
58.45,61.668900000000015
81.08,81.20029999999996
61.06,63.18040000000002
65.84,53.95380000000001
48.53,48.17999999999999
52.47,55.327299999999966
86.39,85.73539999999997
48.54,48.36589999999998
46.7,48.72590000000002
47.78,47.01449999999998
52.5,51.71630000000004
46.32,55.05500000000003
74.81,71.49180000000003
43.27,43.12089999999999
81.08,78.59879999999998
89.65,90.09860000000002
62.83,61.01409999999999
56.91,57.2219
56.73,57.080000000000034
54.65,59.42119999999999
76.35,73.93599999999998
76.17,74.2061
67.08,64.93649999999997
76.05,76.14850000000001
47.37,49.071799999999975
68.0,63.56500000000003
53.15,55.510599999999975
47.16,48.683600000000006
40.9,40.30299999999999
13.5,30.348900000000008
55.27,56.8806
68.72,69.15310000000001
63.1,63.28720000000004
71.12,62.42939999999999
51.62,51.927699999999994
66.33,70.05849999999998
78.4,78.2056
38.82,40.1001
74.16,72.71859999999994
55.77,57.248599999999996
67.38,66.63549999999998
64.85,65.03550000000001
60.55,60.889799999999994
64.81,64.17149999999995
68.97,69.90770000000008
15.28,28.82739999999998
50.34,57.592499999999966
48.8,49.195999999999984
55.1,55.57279999999995
81.67,80.58980000000003
39.2,39.78669999999997
46.89,49.48730000000004
67.38,66.87419999999999
19.86,21.32739999999998
76.75,63.06489999999999
52.22,56.41759999999999
55.01,53.695
36.36,37.60850000000001
82.77,83.51950000000001
52.68,53.57250000000002
51.75,51.96539999999999
55.86,56.71450000000001
42.1,42.80710000000001
69.36,66.92490000000002
55.16,55.516200000000005
67.64,67.86759999999998
65.22,66.36280000000005
75.63,75.7107
80.5,80.53010000000002
76.16,75.18910000000004
55.32,56.010300000000015
59.0,59.0271
29.9,31.370599999999982
44.87,44.9211
68.83,68.43099999999997
54.94,55.26260000000008
55.7,56.420599999999965
54.2,55.9268
65.54,64.46940000000004
47.47,47.79160000000001
56.44,58.53539999999998
51.09,50.596200000000024
66.71,72.03250000000004
55.54,55.25490000000004
80.24,73.41640000000005
66.29,66.4004
66.85,66.42590000000004
67.1,68.05119999999998
51.25,52.011500000000005
68.98,76.60130000000005
45.7,47.23189999999994
50.51,50.209599999999945
66.65,66.66130000000004
60.65,59.732700000000015
86.17,85.80410000000002
65.69,61.20270000000002
62.09,66.18860000000004
64.28,67.58209999999994
36.55,36.95309999999999
76.5,77.0565
56.51,56.96949999999999
59.05,59.23729999999998
56.81,55.80499999999999
70.32,70.58730000000004
31.76,31.650199999999973
76.98,77.13300000000002
56.69,58.24779999999999
63.65,63.85930000000001
51.25,51.569800000000015
69.95,71.95859999999995
49.9,48.30600000000002
76.57,76.84750000000001
65.34,60.86820000000002
64.68,64.81339999999997
37.09,40.145599999999945
49.32,49.14920000000003
52.21,54.047699999999985
64.54,63.823299999999996
52.06,52.62269999999995
56.1,56.15830000000002
50.33,49.87579999999999
68.51,63.37380000000002
56.18,51.331100000000006
71.57,72.08840000000002
60.89,60.194599999999966
54.47,46.26709999999999
72.97,72.76169999999996
51.79,49.23819999999998
48.57,49.31390000000004
48.49,47.143400000000014
48.13,48.27919999999999
52.76,53.846000000000004
54.45,55.54179999999999
